"","Gene","statistic","pvalue","adj_p_value"
"351","1552853_at"," 8.946679e-01","3.878682e-01","1.000000e+00"
"352","1552854_a_at"," 3.314366e+00","3.653141e-03","1.000000e+00"
"353","1552856_at"," 1.904346e+00","7.126706e-02","1.000000e+00"
"354","1552857_a_at"," 2.523710e+00","1.793122e-02","1.000000e+00"
"355","1552858_at"," 8.902897e-01","3.823213e-01","1.000000e+00"
"356","1552860_at"," 5.217116e-01","6.086093e-01","1.000000e+00"
"357","1552863_a_at"," 3.178159e-01","7.557076e-01","1.000000e+00"
"358","1552865_a_at"," 1.540524e+00","1.385666e-01","1.000000e+00"
"359","1552867_at","-1.805025e+00","9.445320e-02","1.000000e+00"
"360","1552868_at","-6.362161e-01","5.313574e-01","1.000000e+00"
"361","1552870_s_at"," 2.247100e+00","3.421094e-02","1.000000e+00"
"362","1552872_at"," 6.100754e-01","5.522234e-01","1.000000e+00"
"363","1552873_s_at"," 4.361451e-01","6.681249e-01","1.000000e+00"
"364","1552875_a_at"," 4.882052e-01","6.349943e-01","1.000000e+00"
"365","1552876_at"," 1.084349e+00","2.963317e-01","1.000000e+00"
"366","1552877_s_at"," 2.633502e+00","1.811459e-02","1.000000e+00"
"367","1552878_at","-4.276550e-01","6.732289e-01","1.000000e+00"
"368","1552879_a_at"," 1.167649e+00","2.587473e-01","1.000000e+00"
"369","1552880_at"," 2.240546e+00","3.485872e-02","1.000000e+00"
"370","1552884_at"," 1.526177e+00","1.549844e-01","1.000000e+00"
"371","1552885_a_at"," 2.026912e-01","8.424812e-01","1.000000e+00"
"372","1552887_at"," 1.549270e+00","1.469401e-01","1.000000e+00"
"373","1552889_a_at"," 6.104307e-01","5.533137e-01","1.000000e+00"
"374","1552892_at"," 6.506207e-01","5.262063e-01","1.000000e+00"
"375","1552893_at"," 3.119564e-01","7.604418e-01","1.000000e+00"
"376","1552895_a_at","-1.070000e+00","3.010918e-01","1.000000e+00"
"377","1552898_a_at"," 1.692917e+00","1.072263e-01","1.000000e+00"
"378","1552899_at","-5.110051e-01","6.185523e-01","1.000000e+00"
"379","1552900_a_at"," 1.072702e+00","2.946720e-01","1.000000e+00"
